level,study_type,profession,start_time,phone_artifact,flight_airport,travel_soap,possession_popcorn,music_jazz,investigation_operation,fertility_crane,radio_music,gem_jewel,drug_alcohol,professor_currency,motto_Jackson,number_equipment,archive_bird,war_journal,troops_personnel,round_Jerusalem,minister_bishop,ministry_government,artifact_object,governor_jazz,practice_law,collection_memorabilia,fertility_hotel,size_environment,science_scientist,video_problem,defeating_discipline,gin_alcohol,year_century,end_time
NA,NA,test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,test,2019-02-20 16:34:56,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-02-20 16:35:08
NA,NA,test,2019-02-20 17:20:28,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-02-20 17:20:40
NA,NA,test,2019-02-20 16:37:11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-02-20 16:37:27
NA,NA,test,2019-02-20 16:37:11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-02-20 16:37:27
NA,NA,test,2019-02-20 16:41:43,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-02-20 16:42:03
NA,NA,test,2019-02-20 18:30:36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-02-20 18:30:44
NA,NA,test,2019-02-20 18:30:36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-02-20 18:30:47
NA,NA,test,2019-02-20 18:30:36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-02-20 18:30:47
NA,NA,test,2019-02-20 18:30:36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-02-20 18:30:47
NA,NA,test,2019-02-20 18:32:06,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-02-20 18:32:27
