word1,word2
hardware,nation
fertility,crane
Palestinian,smart
number,equipment
round,Jerusalem
software,accommodation
tournament,avenue
archive,bird
mile,keyboard
video,problem
forecast,concert
ministry,similarity
governor,jazz
psychiatry,price
defeating,discipline
possession,popcorn
astronomer,defeat
tiger,season
astronomer,hike
physics,dividend
plan,culture
percent,tool
stupid,furnace
travel,soap
deposit,wizard
motto,Jackson
consumer,withdrawal
law,accommodation
mouth,chemistry
season,astronomer
image,cash
street,challenge
professor,currency
live,book
phone,artifact
center,fingerprint
smile,psychology
size,environment
tool,sex
war,journal
love,glass
championship,telephone
egg,peace
fertility,hotel
landscape,Freud
hill,gain
voyage,discipline
astronomer,situation
focus,sex
Mars,health
