Timestamp,ARAFAT vs. TERROR,GROCERY vs. MONEY,BOOK vs. PAPER,SHORE vs. WOODLAND,ANNOUNCEMENT vs. EFFORT,DISASTER vs. AREA,FURNACE vs. STOVE,TIGER vs. JAGUAR,TERRITORY vs. SURFACE,NATURE vs. ENVIRONMENT,BOY vs. LAD,DISABILITY vs. DEATH,MUSEUM vs. THEATER,GAME vs. SERIES,PROFESSOR vs. CUCUMBER,PSYCHOLOGY vs. DOCTOR,WATER vs. SEEPAGE,FBI vs. INVESTIGATION,MINISTRY vs. CULTURE,COUNTRY vs. CITIZEN,MONEY vs. CASH,STOCK vs. LIFE,WORD vs. SIMILARITY,REASON vs. HYPERTENSION,PHYSICS vs. CHEMISTRY,MARS vs. SCIENTIST,MUSIC vs. PROJECT,SITUATION vs. ISOLATION,FOOD vs. PREPARATION,MONEY vs. BANK,DOCTOR vs. PERSONNEL,STUDENT vs. PROFESSOR,MONK vs. ORACLE,SPACE vs. WORLD,VOLUNTEER vs. MOTTO,MEDIA vs. GAIN,LIFE vs. TERM,INVESTIGATION vs. EFFORT,PREJUDICE vs. RECOGNITION,FERTILITY vs. EGG,SEAFOOD vs. LOBSTER,CUP vs. LIQUID,MONEY vs. CURRENCY,CUP vs. SUBSTANCE,TELEVISION vs. RADIO,JAPANESE vs. AMERICAN,PLANET vs. SUN,PLANET vs. STAR,MINISTER vs. PARTY,PRACTICE vs. INSTITUTION,TIGER vs. ZOO,SMART vs. STUPID,TRAIN vs. CAR,CRANE vs. IMPLEMENT,DOCTOR vs. NURSE,PHONE vs. EQUIPMENT,CHORD vs. SMILE,CUP vs. TABLEWARE,ENVIRONMENT vs. ECOLOGY,COMPUTER vs. SOFTWARE,MONEY vs. DEPOSIT,SHOWER vs. THUNDERSTORM,MOVIE vs. POPCORN,DRUG vs. ABUSE,CUP vs. OBJECT,SHOWER vs. FLOOD,SEAFOOD vs. SEA,MARATHON vs. SPRINT,OPERA vs. PERFORMANCE,OIL vs. STOCK,TENNIS vs. RACKET,ROOSTER vs. VOYAGE,ADMISSION vs. TICKET,DEATH vs. ROW,ALCOHOL vs. CHEMISTRY,STOCK vs. JAGUAR,PSYCHOLOGY vs. PSYCHIATRY,JOURNEY vs. VOYAGE,MEDIA vs. RADIO,MONEY vs. PROPERTY,STREET vs. CHILDREN,SIZE vs. PROMINENCE,IMAGE vs. SURFACE,ENERGY vs. CRISIS,COMPUTER vs. NEWS,LIABILITY vs. INSURANCE,VODKA vs. BRANDY,TIGER vs. MAMMAL,PSYCHOLOGY vs. FREUD,PROBLEM vs. CHALLENGE,SITUATION vs. CONCLUSION,LOVER vs. QUARREL,MONEY vs. DOLLAR,PLANE vs. CAR,NOON vs. STRING,LOBSTER vs. FOOD,CELL vs. PHONE,INVESTOR vs. EARNING,LISTING vs. PROXIMITY,BISHOP vs. RABBI,WEAPON vs. SECRET,GAME vs. DEFEAT,FOREST vs. GRAVEYARD,LIFE vs. LESSON,PSYCHOLOGY vs. DEPRESSION,MARADONA vs. FOOTBALL,KING vs. QUEEN,COAST vs. SHORE,LAD vs. WIZARD,FOOD vs. ROOSTER,PSYCHOLOGY vs. CLINIC,KING vs. CABBAGE,CEMETERY vs. WOODLAND,COAST vs. FOREST,JERUSALEM vs. ISRAEL,LOVE vs. SEX,MARS vs. WATER,FIGHTING vs. DEFEATING,DIVIDEND vs. CALCULATION,PRECEDENT vs. LAW,ATTEMPT vs. PEACE,STREET vs. AVENUE,DIRECTION vs. COMBINATION,FIVE vs. MONTH,EQUIPMENT vs. MAKER,PSYCHOLOGY vs. FEAR,LIQUID vs. WATER,HARVARD vs. YALE,TELEVISION vs. FILM,RECORD vs. NUMBER,CUP vs. COFFEE,CALCULATION vs. COMPUTATION,DEVELOPMENT vs. ISSUE,WEDNESDAY vs. NEWS,HOTEL vs. RESERVATION,MONK vs. SLAVE,TOOL vs. IMPLEMENT,HOLY vs. SEX,OPERA vs. INDUSTRY,REGISTRATION vs. ARRANGEMENT,OBSERVATION vs. ARCHITECTURE,POSSIBILITY vs. GIRL,PRODUCTION vs. CREW,CUP vs. ARTIFACT,PLANET vs. GALAXY,GOVERNMENT vs. CRISIS,TREATMENT vs. RECOVERY,GENDER vs. EQUALITY,COMPUTER vs. LABORATORY,SPACE vs. CHEMISTRY,MONEY vs. CASH,PEACE vs. ATMOSPHERE,COMPANY vs. STOCK,MONEY vs. LAUNDERING,TIGER vs. ORGANISM,LUXURY vs. CAR,STOCK vs. CD,BENCHMARK vs. INDEX,BANK vs. MONEY,GOVERNOR vs. INTERVIEW,STOCK vs. PHONE,FOOTBALL vs. BASKETBALL,MONEY vs. OPERATION,OPEC vs. COUNTRY,STREET vs. BLOCK,PROFIT vs. LOSS,MURDER vs. MANSLAUGHTER,DISCOVERY vs. SPACE,WOOD vs. FOREST,BED vs. CLOSET,TIGER vs. CARNIVORE,MOVIE vs. THEATER,PEACE vs. INSURANCE,ANNOUNCEMENT vs. WARNING,MONEY vs. POSSESSION,BASEBALL vs. SEASON,CONSUMER vs. ENERGY
2/7/2019 11:38:27,4,2,3,8,6,5,5,5,5,5,7,6,5,4,4,6,6,7,5,5,4,5,5,5,4,5,6,5,6,6,5,6,5,6,6,3,5,5,7,4,7,5,4,4,7,6,7,6,7,4,7,5,5,5,4,6,6,4,6,4,5,5,7,7,6,5,7,4,7,5,7,6,7,6,5,4,8,6,5,7,4,5,7,5,7,5,7,4,2,5,4,5,5,5,7,5,6,8,7,7,6,4,7,5,4,2,6,4,5,7,5,4,5,6,4,6,4,7,8,5,4,7,5,4,6,5,6,6,6,7,4,5,6,7,5,6,5,4,5,7,3,6,5,5,5,6,7,5,8,5,8,7,5,5,4,6,7,4,4,5,5,6,6,7,4,7,7,8,5,7,5,6,6,5,4,5,5
2/7/2019 11:39:31,3,3,7,6,3,4,10,6,4,8,6,2,4,3,6,8,10,6,10,6,10,7,4,7,6,8,3,2,4,4,10,5,5,6,2,6,7,4,4,10,4,4,2,7,1,4,7,7,4,4,5,9,9,7,8,3,3,6,9,10,6,5,7,1,3,5,6,6,7,4,7,4,6,4,5,2,9,9,9,2,8,1,5,3,5,9,8,6,3,8,7,4,7,7,2,7,10,5,5,7,3,9,5,8,6,3,9,9,8,4,10,3,10,7,8,2,2,9,7,2,6,4,5,6,4,8,2,10,5,8,1,6,9,5,7,7,9,10,2,7,10,7,1,3,6,4,3,5,4,1,10,3,7,6,5,9,6,2,2,1,7,9,8,9,7,8,8,3,10,4,7,8,2,8,7,8,3
2/7/2019 11:43:32,5,4,7,4,3,2,10,9,6,8,8,3,5,3,1,4,3,7,4,4,8,3,3,3,8,4,4,3,5,7,4,8,4,3,4,2,3,2,3,5,6,5,8,4,8,4,3,7,2,6,3,4,7,3,8,4,2,7,7,6,4,4,7,7,3,3,7,7,3,6,9,1,4,4,6,3,8,8,7,4,3,3,6,3,3,4,9,4,5,4,2,7,7,5,2,7,10,4,2,9,2,4,2,3,5,6,8,8,3,2,6,1,2,5,8,8,1,4,4,3,3,10,3,1,4,3,8,9,7,3,6,7,3,1,5,3,6,4,2,4,3,2,3,3,6,4,7,3,4,6,8,4,4,4,6,3,3,4,7,3,3,9,2,2,10,4,9,4,6,3,7,9,2,6,4,4,3
2/7/2019 11:44:09,6,5,7,2,1,1,7,8,7,6,8,2,8,2,1,2,2,1,1,4,9,2,1,1,6,2,1,1,1,2,4,7,5,4,1,2,1,5,4,5,7,2,8,2,7,7,4,2,1,2,3,1,6,2,7,4,1,4,6,3,5,2,1,1,6,2,2,4,1,3,1,5,4,1,2,1,5,8,6,6,1,7,1,1,1,3,6,6,1,7,3,2,8,8,1,6,7,1,1,8,2,2,5,1,3,6,7,8,2,1,3,1,2,3,6,5,1,6,5,1,1,9,1,1,1,1,6,7,4,5,3,10,1,1,1,3,1,2,2,4,3,2,1,4,4,2,3,1,1,1,9,1,3,1,5,1,1,3,3,1,1,7,6,1,4,1,8,6,8,5,4,3,1,7,3,1,6
2/7/2019 11:44:14,3,3,8,2,2,3,5,5,4,8,5,6,5,3,1,6,2,9,4,8,10,1,4,3,4,6,7,2,4,7,4,3,2,6,2,1,2,2,2,7,8,3,9,2,4,8,8,8,6,4,5,5,6,3,6,4,3,9,7,8,5,4,7,6,7,4,6,7,7,3,9,1,3,3,8,1,8,7,8,8,6,4,3,6,3,6,9,8,7,8,4,3,10,4,2,7,6,8,2,9,5,4,3,4,6,6,7,7,2,3,7,1,4,2,9,7,4,5,6,3,1,9,2,4,4,6,9,7,8,7,8,9,2,3,7,3,3,1,2,4,2,3,5,2,4,8,6,4,4,2,10,2,7,6,7,8,3,6,8,2,1,4,4,6,7,6,9,6,6,3,9,8,4,4,6,6,2
2/7/2019 11:44:17,1,1,6,3,2,3,8,5,1,9,10,4,5,4,1,7,6,2,2,1,6,1,1,1,6,2,1,4,1,1,6,3,2,3,2,1,6,2,2,2,6,2,9,1,5,6,3,5,1,1,1,1,6,7,6,8,2,7,6,3,5,7,1,1,6,3,4,4,8,1,2,1,4,1,1,1,7,6,1,6,1,3,2,1,1,5,6,6,6,8,4,1,6,6,1,8,10,4,1,8,1,4,1,3,5,1,7,8,4,5,3,1,1,2,6,5,2,4,4,6,1,8,2,1,1,6,8,8,7,1,2,6,4,1,1,3,10,1,5,6,1,2,4,2,5,1,4,1,1,1,9,1,1,1,6,2,1,4,4,1,1,6,1,6,2,1,9,1,6,2,4,4,2,6,2,2,1
2/7/2019 11:44:48,4,10,9,5,2,7,6,8,6,10,5,6,6,4,2,2,6,8,5,9,9,2,3,5,7,5,3,1,6,8,3,8,6,6,1,3,5,6,6,6,9,6,9,6,9,4,7,7,7,3,6,7,7,2,6,3,3,8,8,9,5,7,9,9,7,3,9,7,5,4,8,3,8,5,8,2,7,9,7,8,4,2,4,7,5,5,6,7,9,7,2,8,7,7,4,6,9,6,2,9,2,4,5,3,9,8,8,9,2,4,8,7,5,4,10,7,6,6,6,9,5,7,2,3,2,8,8,8,7,7,6,6,8,2,8,3,2,7,3,4,5,1,6,7,7,10,6,7,9,2,9,4,8,8,9,6,3,5,7,4,2,6,6,3,7,5,6,3,8,6,6,9,2,4,7,5,4
2/7/2019 11:45:15,3,6,7,2,1,2,7,8,7,8,8,3,7,4,1,7,4,7,3,3,9,2,1,1,8,3,2,1,3,8,3,7,4,8,1,1,7,2,3,6,8,7,9,8,7,8,8,8,3,3,7,7,7,2,8,4,2,6,7,9,7,1,7,5,8,6,7,8,7,2,7,3,4,3,6,2,9,8,8,3,1,5,1,1,2,3,8,6,7,7,1,3,8,8,1,8,6,3,1,6,3,6,1,6,6,8,9,8,2,3,6,2,3,7,5,6,1,3,3,7,4,8,2,1,3,4,9,8,8,5,7,3,2,2,6,1,2,1,3,3,1,1,2,3,7,2,7,5,4,6,8,6,6,3,7,6,4,4,7,1,1,8,3,3,4,2,8,3,5,6,7,8,3,8,2,8,1
2/7/2019 11:45:24,7,5,8,3,2,3,6,8,3,6,7,3,9,6,1,4,3,7,3,7,7,2,3,8,3,3,3,4,5,7,3,9,4,8,3,4,3,2,3,9,7,8,8,3,8,7,6,7,8,3,7,8,7,3,7,2,2,7,7,8,8,3,7,7,5,3,3,8,7,8,8,3,4,4,5,3,9,8,6,6,3,4,3,3,2,7,8,8,8,6,3,2,8,8,3,7,8,8,2,8,3,4,3,5,8,7,8,8,3,6,8,3,3,5,8,8,2,8,3,3,2,8,3,1,3,6,8,9,8,3,7,8,3,3,8,8,2,1,1,4,2,2,8,3,8,6,8,6,4,4,9,2,8,3,5,3,3,3,8,3,2,6,3,2,8,8,8,3,8,6,6,8,2,8,7,5,2
2/7/2019 11:45:56,1,4,8,7,4,4,9,9,5,7,8,2,7,6,3,4,7,3,2,6,9,4,5,3,7,4,5,4,5,6,6,7,6,7,3,3,2,3,4,5,8,5,8,3,7,5,8,7,7,3,6,4,6,1,8,5,5,6,8,8,6,3,7,3,5,3,7,7,6,2,8,3,6,1,6,2,8,8,8,7,5,4,5,3,4,6,6,6,6,9,4,6,9,6,3,6,3,4,5,6,2,7,5,3,6,5,9,7,4,6,4,4,5,5,7,7,5,6,4,3,2,6,4,2,3,5,9,7,8,6,5,9,2,3,6,3,3,2,4,5,3,3,7,5,7,4,6,3,4,6,9,5,6,6,5,4,4,2,6,4,5,8,4,1,8,7,7,5,9,5,7,7,3,6,5,5,3
