word1,word2
ministry,telephone
hill,oil
prejudice,science
life,communication
family,man
planet,defeat
video,canyon
basketball,film
marriage,money
accommodation,psychology
arrangement,girl
development,life
oil,weapon
board,arrival
type,flood
flood,drink
crane,jazz
American,drug
credibility,holy
voyage,nation
interest,profit
atmosphere,competition
preparation,day
lawyer,theater
interview,month
approach,bird
oil,soap
forecast,delay
currency,health
car,area
crisis,war
war,wizard
activity,flood
vodka,credit
withdrawal,payment
psychiatry,potato
woodland,type
baseball,crew
science,planet
party,film
environment,match
racism,word
water,bed
line,critic
internet,group
clinic,payment
area,people
phone,information
plane,situation
combination,dividend
