word1,word2
year,century
hardware,infrastructure
radio,music
constellation,star
popcorn,butter
insurance,automobile
price,market
loss,recovery
doctor,scientist
gem,jewel
interest,importance
architecture,culture
flight,airport
baseball,tennis
artifact,object
minister,bishop
basketball,championship
girl,woman
basketball,game
collection,memorabilia
flight,departure
infrastructure,development
drug,alcohol
landscape,fauna
rabbi,minister
music,jazz
announcement,departure
announcement,interview
ministry,minister
science,scientist
investigation,operation
food,water
wine,food
card,credit
dawn,sun
health,fertility
moon,planet
competition,championship
round,tournament
troops,personnel
investigation,report
airport,departure
ministry,government
woman,victim
nurse,clinic
gin,alcohol
sugar,coffee
practice,law
deployment,infrastructure
woman,mother
